Episode 0, Reward: 32.0
Episode 1, Reward: 24.0
Episode 2, Reward: 33.0
Episode 3, Reward: 9.0
Episode 4, Reward: 16.0
Episode 5, Reward: 18.0
Episode 6, Reward: 15.0
Episode 7, Reward: 20.0
Episode 8, Reward: 16.0
Episode 9, Reward: 61.0
Episode 10, Reward: 15.0
Episode 11, Reward: 19.0
Episode 12, Reward: 15.0
Episode 13, Reward: 24.0
Episode 14, Reward: 16.0
Episode 15, Reward: 31.0
Episode 16, Reward: 15.0
Episode 17, Reward: 16.0
Episode 18, Reward: 16.0
Episode 19, Reward: 16.0
Episode 20, Reward: 12.0
Episode 21, Reward: 22.0
Episode 22, Reward: 78.0
Episode 23, Reward: 14.0
Episode 24, Reward: 19.0
Episode 25, Reward: 25.0
Episode 26, Reward: 11.0
Episode 27, Reward: 33.0
Episode 28, Reward: 17.0
Episode 29, Reward: 20.0
Episode 30, Reward: 28.0
Episode 31, Reward: 11.0
Episode 32, Reward: 18.0
Episode 33, Reward: 19.0
Episode 34, Reward: 19.0
Episode 35, Reward: 11.0
Episode 36, Reward: 20.0
Episode 37, Reward: 47.0
Episode 38, Reward: 25.0
Episode 39, Reward: 17.0
Episode 40, Reward: 56.0
Episode 41, Reward: 30.0
Episode 42, Reward: 15.0
Episode 43, Reward: 13.0
Episode 44, Reward: 41.0
Episode 45, Reward: 18.0
Episode 46, Reward: 21.0
Episode 47, Reward: 19.0
Episode 48, Reward: 24.0
Episode 49, Reward: 20.0
Episode 50, Reward: 13.0
Episode 51, Reward: 10.0
Episode 52, Reward: 21.0
Episode 53, Reward: 34.0
Episode 54, Reward: 24.0
Episode 55, Reward: 15.0
Episode 56, Reward: 13.0
Episode 57, Reward: 27.0
Episode 58, Reward: 22.0
Episode 59, Reward: 11.0
Episode 60, Reward: 25.0
Episode 61, Reward: 13.0
Episode 62, Reward: 24.0
Episode 63, Reward: 11.0
Episode 64, Reward: 15.0
Episode 65, Reward: 36.0
Episode 66, Reward: 14.0
Episode 67, Reward: 15.0
Episode 68, Reward: 9.0
Episode 69, Reward: 10.0
Episode 70, Reward: 12.0
Episode 71, Reward: 19.0
Episode 72, Reward: 10.0
Episode 73, Reward: 35.0
Episode 74, Reward: 11.0
Episode 75, Reward: 29.0
Episode 76, Reward: 10.0
Episode 77, Reward: 18.0
Episode 78, Reward: 21.0
Episode 79, Reward: 24.0
Episode 80, Reward: 71.0
Episode 81, Reward: 17.0
Episode 82, Reward: 11.0
Episode 83, Reward: 48.0
Episode 84, Reward: 34.0
Episode 85, Reward: 24.0
Episode 86, Reward: 14.0
Episode 87, Reward: 23.0
Episode 88, Reward: 48.0
Episode 89, Reward: 75.0
Episode 90, Reward: 13.0
Episode 91, Reward: 13.0
Episode 92, Reward: 29.0
Episode 93, Reward: 16.0
Episode 94, Reward: 16.0
Episode 95, Reward: 40.0
Episode 96, Reward: 25.0
Episode 97, Reward: 28.0
Episode 98, Reward: 19.0
Episode 99, Reward: 15.0
Episode 100, Reward: 9.0
Episode 101, Reward: 14.0
Episode 102, Reward: 25.0
Episode 103, Reward: 16.0
Episode 104, Reward: 11.0
Episode 105, Reward: 11.0
Episode 106, Reward: 23.0
Episode 107, Reward: 16.0
Episode 108, Reward: 15.0
Episode 109, Reward: 32.0
Episode 110, Reward: 22.0
Episode 111, Reward: 41.0
Episode 112, Reward: 16.0
Episode 113, Reward: 22.0
Episode 114, Reward: 16.0
Episode 115, Reward: 23.0
Episode 116, Reward: 13.0
Episode 117, Reward: 16.0
Episode 118, Reward: 22.0
Episode 119, Reward: 36.0
Episode 120, Reward: 10.0
Episode 121, Reward: 26.0
Episode 122, Reward: 20.0
Episode 123, Reward: 10.0
Episode 124, Reward: 21.0
Episode 125, Reward: 17.0
Episode 126, Reward: 28.0
Episode 127, Reward: 16.0
Episode 128, Reward: 13.0
Episode 129, Reward: 10.0
Episode 130, Reward: 12.0
Episode 131, Reward: 12.0
Episode 132, Reward: 40.0
Episode 133, Reward: 19.0
Episode 134, Reward: 34.0
Episode 135, Reward: 16.0
Episode 136, Reward: 12.0
Episode 137, Reward: 19.0
Episode 138, Reward: 11.0
Episode 139, Reward: 21.0
Episode 140, Reward: 19.0
Episode 141, Reward: 12.0
Episode 142, Reward: 32.0
Episode 143, Reward: 9.0
Episode 144, Reward: 44.0
Episode 145, Reward: 9.0
Episode 146, Reward: 23.0
Episode 147, Reward: 47.0
Episode 148, Reward: 16.0
Episode 149, Reward: 20.0
Episode 150, Reward: 18.0
Episode 151, Reward: 19.0
Episode 152, Reward: 22.0
Episode 153, Reward: 12.0
Episode 154, Reward: 23.0
Episode 155, Reward: 16.0
Episode 156, Reward: 33.0
Episode 157, Reward: 14.0
Episode 158, Reward: 19.0
Episode 159, Reward: 25.0
Episode 160, Reward: 19.0
Episode 161, Reward: 18.0
Episode 162, Reward: 18.0
Episode 163, Reward: 10.0
Episode 164, Reward: 21.0
Episode 165, Reward: 38.0
Episode 166, Reward: 20.0
Episode 167, Reward: 14.0
Episode 168, Reward: 11.0
Episode 169, Reward: 16.0
Episode 170, Reward: 15.0
Episode 171, Reward: 11.0
Episode 172, Reward: 9.0
Episode 173, Reward: 11.0
